scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
47,296.1707797,256.0851469,1,333.550209,254.9433405,1,325.7264535,232.1396422,1,299.9974944,221.2669954,1,273.6098123,233.7706881,1,263.2137074,257.3056183,1,271.1625602,283.886591,1,296.2731113,297.4097295,1,324.6519854,280.4937525,1
48,307.7485099,244.6241322,1,342.2220314,243.4918032,1,339.5970935,219.9317994,1,315.0378962,209.3100643,1,291.2912787,219.3118305,1,275.878541,244.6344728,1,280.2774806,270.9281683,1,305.6043539,283.2283525,1,332.7948849,270.4592056,0.999994755
49,287.8343346,227.9650364,1,330.9654603,227.4481888,1,321.6744804,199.8940885,1,290.4262176,184.8154979,1,262.4830763,199.6219156,1,250.8673836,226.9171014,1,261.3030682,256.8251371,1,291.522491,271.861712,1,322.3760705,256.2185369,1
50,306.7999499,213.5011778,1,352.7088151,213.0627245,1,345.9300249,185.5868797,1,315.4381014,171.7903128,1,286.6383464,184.900856,1,266.7358222,214.0801289,1,273.8821115,243.3391027,1,305.276865,256.1149573,1,339.0926806,242.5320495,1
51,312.4560766,204.7864265,1,364.8654007,206.7955759,1,352.2945433,173.2068951,1,318.3892753,159.9061127,1,286.9588077,174.5633802,1,266.3498402,204.69397,1,279.8297637,237.3343277,1,313.9794703,253.9863458,1,350.5669601,238.4354911,1
52,344.3474455,192.3256102,1,418.7419457,196.7763373,1,378.6371188,166.7685935,0.999999583,352.5151386,154.2073054,1,325.0313139,168.3413334,1,309.2267981,193.4737186,1,315.9735516,224.5527916,1,343.593349,239.1779325,0.99998188,402.1771824,232.6961739,0.999999642
53,382.502142,185.4946618,1,441.0989685,189.3197612,1,421.6338061,154.073895,1,384.7173553,137.7155952,1,349.0610628,152.9348283,1,333.2827907,181.8381805,1,344.3164659,212.5305805,1,384.8180802,238.7726307,1,426.0076351,226.0071073,1
54,390.6427565,184.6016541,1,449.6564798,188.1562119,1,431.3286376,153.661653,1,393.1079986,134.691308,1,357.7645518,149.3066244,1,339.8017322,180.2497501,1,351.9752674,212.4884911,1,396.929594,238.15838,1,435.0588341,225.9468417,1
55,387.3129306,187.3882556,1,445.6118984,192.0887222,1,427.2887037,155.1632037,1,389.5555983,135.6980336,1,354.4067305,150.3307104,1,336.6879964,183.467042,1,348.6064415,217.5340004,1,392.8267865,242.2436509,1,432.0463128,230.9757102,1
56,375.445843,190.2938864,1,440.955277,196.6725874,1,417.6170754,155.8907056,1,379.9781172,139.0588193,1,343.3664196,154.1822553,1,324.6979076,187.9288306,1,336.0201097,224.802279,1,381.1211135,247.8961034,1,423.9942868,236.4008722,1
57,386.1140145,188.4951744,1,449.3378091,197.2377579,1,426.1809788,157.5561733,1,389.6323996,136.7487688,1,353.6652827,152.3479414,1,333.4129858,184.9031796,1,345.3512759,216.5183587,1,393.9844606,246.9163327,1,433.8793671,235.1658387,1
58,367.7394247,167.2817206,1,435.5539646,173.6694638,1,414.6942608,133.547963,1,373.6066986,114.92765,1,334.0416551,131.5004101,1,310.8461871,163.6893816,1,323.0015063,200.6289816,1,371.9446567,229.4148363,0.999998331,417.0667429,218.3528328,1
59,388.475333,176.4661245,1,449.5051737,181.6792911,1,428.9602787,142.8130693,1,387.8359733,124.1258144,1,351.9809518,141.847229,1,333.0958853,173.9501066,1,346.10431,209.9131804,1,393.5220351,236.7892369,1,436.414959,222.813967,1
60,377.8292298,179.6402387,1,443.9970864,186.9293294,1,426.7234286,147.1261206,1,381.2797327,128.6346669,1,346.0980973,144.238131,1,326.7767212,176.1104832,1,336.6648636,210.5131006,1,387.8198466,238.8115194,1,429.8283752,225.0971556,1
61,383.4990184,179.2930201,1,447.1244926,185.7411838,1,425.2408919,145.8914924,1,385.5167971,128.1754642,1,349.4859495,145.3689494,1,331.3249264,176.6589932,1,342.1581151,210.6280479,1,391.6593468,238.4060476,1,432.2991185,223.8096454,1
62,375.9617848,182.5993602,1,440.1816201,187.0505128,1,419.0309873,148.4228897,1,380.527627,131.1106157,1,343.9921796,146.5138021,1,323.3712158,178.2219043,1,333.6265104,213.3687057,1,381.0573186,239.7329035,1,425.1966128,224.9649091,1
63,373.7508732,190.8661332,1,438.0921361,193.0664482,1,416.1151407,155.0274572,1,378.619698,138.3685441,1,343.8535967,152.7327571,1,322.3140283,188.0017529,1,331.4576774,222.948267,1,377.0371685,247.4737391,0.99999994,423.1398635,234.2779469,1
64,374.7023408,192.1547303,1,440.0755491,196.8176804,1,419.4989738,157.0301387,1,379.4592058,140.1307259,1,344.1023378,155.3088641,1,323.458589,189.292779,1,333.9454072,224.0257783,1,381.6532834,247.921653,1,423.8563871,236.2027273,1
65,383.574667,190.6391568,1,443.792166,195.5350652,1,424.0218287,157.0320933,1,385.1226292,141.4173393,1,349.8811966,155.9659238,1,332.5823508,189.3463593,1,340.1479377,222.1580191,1,388.3967583,246.9360476,1,429.6189934,233.7412367,1
66,383.7110384,190.9780121,1,443.4465327,195.0078614,1,423.8882267,156.4152609,1,387.0278538,141.1455307,1,349.3592836,157.0409594,1,331.4254801,189.4079857,1,342.1704125,223.3541656,1,388.7725633,246.3714423,1,429.6918147,232.5354385,1
67,369.8247619,190.5082471,1,433.7427816,190.5914898,1,411.9254058,154.629262,1,373.3201689,138.6963453,1,338.8271575,155.3743377,1,317.6065571,188.3854036,1,328.3881741,222.4197474,1,372.6048827,245.763508,1,417.6528764,230.6641052,1
68,373.5871308,187.4366541,1,435.3398943,189.5618247,1,412.9384654,151.8207457,1,376.5221348,134.9595103,1,338.2616677,151.2275543,1,320.0777783,184.0730038,1,332.85434,219.4043317,1,375.4237826,241.8743887,1,418.1963307,228.2340374,1
69,367.7576144,182.8803153,1,428.4224272,183.5826132,1,407.9161265,147.245142,1,370.2895379,130.9717607,1,334.7594883,146.4774981,1,313.8470483,179.5360055,1,327.4738557,215.4310675,1,369.9235744,236.8167416,1,412.705225,221.4454764,1
70,358.3114634,181.9657865,1,421.7695745,182.3596604,1,401.9041142,144.791203,1,365.4306396,129.5110774,1,327.9146898,144.797493,1,307.8934212,178.2806134,1,319.7178583,214.3871088,1,361.7735858,235.9414388,1,404.6389261,221.7212868,1
