scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
53,354.8107442,206.4287453,1,424.5311532,205.9468436,1,404.3723391,164.0682683,1,357.0259506,140.8550386,1,318.0789576,160.3135052,1,298.1112823,198.8581169,1,308.5821812,240.4638824,1,348.9602034,261.367698,0.999999106,408.4503999,249.6244054,1
54,356.4709812,199.6160464,1,427.1245537,210.4022528,1,403.5343398,162.2762898,1,360.3037903,142.4214258,1,321.3045878,159.1226561,1,301.7542478,197.2957516,1,309.7555063,238.6873982,1,350.1010575,260.5909949,0.999995232,409.2196493,254.6040928,1
55,350.649411,203.1156521,1,419.3876305,207.2211378,1,397.771175,165.7685704,1,354.1093366,143.1623507,1,316.3955994,159.0228002,1,291.3558465,197.4924765,1,303.1242335,236.5322742,1,345.4214478,258.4691945,0.999998748,404.3941917,250.0227146,1
56,345.6326265,207.6059923,1,412.0428163,211.4887652,1,391.0605819,167.1470249,1,349.9869289,145.1008844,1,308.5647202,162.8691258,1,286.7219675,202.5316448,1,299.9057401,244.0601422,1,342.1879547,264.6303215,0.999970615,397.3945349,255.734211,1
57,345.5704074,209.7836971,1,411.1236812,210.4002442,1,387.793013,168.768126,1,349.0199277,147.8333621,1,311.5131037,162.5551634,1,287.0880711,203.1204467,1,299.7723207,244.2885757,1,338.0698065,264.3061757,0.999999464,396.8028809,254.1244514,1
58,348.543277,209.0564795,1,420.0576498,219.6188055,0.999999881,393.6676631,172.9745864,1,354.1307454,152.9317131,1,316.05861,171.6146426,1,295.079757,206.6985188,1,304.7936697,244.182724,1,341.8541015,262.7435479,0.999999881,408.6938396,261.9615816,1
59,358.1797249,209.8891225,1,429.076808,216.6899776,1,405.4288597,171.6691297,1,364.5673714,152.6439915,1,329.2999196,168.619504,1,306.5262483,207.3731251,1,312.9153962,243.731863,1,349.154726,264.9319091,0.999988437,416.2127442,261.1418641,1
60,358.2145476,208.5165873,1,432.5566869,219.0889701,1,407.7802594,169.1811724,0.999999881,365.1959448,151.960129,1,329.291513,168.7453866,1,308.1124581,205.2541704,1,312.7852206,241.2599902,1,345.5675011,262.0687084,0.999987483,418.3322486,264.2018013,1
61,365.478809,209.1476059,1,438.7236245,213.1261394,1,416.2304106,170.5499995,0.999999642,372.1996329,150.8584557,1,336.0283122,168.4625859,1,317.8918253,205.8102417,1,321.4051046,244.2860603,1,354.8238235,261.7061834,0.999954641,424.0561924,259.5289653,1
62,358.6227798,207.711606,1,434.0207858,213.0569412,1,413.9664483,170.8314434,1,368.065876,149.2226,1,328.0240126,167.4873629,1,306.2764874,203.9180822,1,313.7204127,239.5239069,1,353.281816,261.6786325,0.999997914,416.7553926,260.0806241,1
63,355.4970922,206.0948765,1,430.4301071,215.2480803,1,406.0947909,168.4993534,0.999999881,362.4983602,150.5300498,1,324.5123415,167.4000101,1,304.529705,203.136826,1,310.8778889,240.8529086,1,350.9869387,263.0222878,0.999978662,415.3430483,261.4800758,1
64,351.3091354,204.2980996,1,428.6464963,217.376256,1,404.4240981,168.6940174,0.999999881,358.284987,149.6394635,1,321.3030772,168.8628569,1,302.0487597,202.8187141,1,305.8880463,238.7023332,1,348.7963553,261.8926306,0.999951363,413.4065528,262.4192643,1
65,346.3635006,204.5179405,1,419.7195693,210.6650496,1,397.9801456,168.4554086,1,352.8195496,146.4271379,1,314.0012522,164.2542725,1,290.296258,201.7269092,1,297.0456014,238.8068395,1,341.156283,262.1707151,0.999990463,403.9129697,252.4617111,1
66,339.1647027,198.9796269,1,414.758657,207.8125589,1,388.2334706,160.5867286,1,343.8074715,139.7863059,1,303.5073886,160.2332134,1,283.8883357,197.2873478,1,290.2910833,235.503624,1,334.8374243,260.9540753,0.999997556,396.5703178,249.0357132,1
67,335.9431424,201.0082908,1,411.6764405,211.0171952,1,385.4581735,164.297068,0.999999881,342.9387381,142.7659109,1,303.599129,160.951438,1,280.640214,198.7255106,1,287.0209844,238.7471964,1,334.4298468,261.9620365,0.999998808,395.4873127,251.4459348,1
68,334.1595037,203.9074614,1,411.3875918,216.1329212,1,386.7836193,170.1903819,1,342.9227588,149.2803041,1,299.4336653,169.2914758,1,279.7306657,202.9463906,1,286.9106748,238.9622328,1,333.2891594,262.6667922,0.999969602,395.2246019,257.5054312,1
